Gold,Total,Score,Coach,Host,Events,Athletes,GDP
0,1,5,0,0,8,368,441.048
0,1,5,0,0,14,431,1305.099
0,2,7,0,0,14,460,1315.136
1,4,16,0,0,14,453,1150.169
0,1,2,0,0,14,470,1811.987
1,1,10,0,0,14,455,2417.242
0,1,2,0,0,14,374,2099.259
1,2,15,0,0,14,395,1886.59
0,2,4,0,0,15,524,1905.954
1,1,10,0,0,15,610,2376.51
0,1,5,0,0,16,47,479.967
1,2,12,0,0,2,154,479.967
1,2,12,0,0,7,196,479.967
0,1,5,0,1,6,392,479.967
1,1,10,0,0,6,246,479.967
0,1,5,0,0,7,268,479.967
1,2,12,0,0,8,345,479.967
0,2,4,0,0,7,312,479.967
1,1,10,0,0,7,203,479.967
1,3,17,0,0,11,368,441.048
0,2,4,0,0,11,431,1305.099
2,5,29,0,0,13,460,1315.136
0,2,7,0,0,15,453,1150.169
1,3,20,0,0,17,470,1811.987
1,3,20,0,0,17,455,2417.242
2,5,35,0,0,15,374,2099.259
4,7,55,0,0,15,395,1886.59
0,1,5,0,0,15,524,1905.954
2,5,32,0,0,15,610,2376.51
0,3,9,0,0,29,345,479.967
0,1,2,0,0,31,374,897.006
0,2,4,0,0,31,431,1305.099
0,1,2,0,0,32,460,1315.136
3,6,39,0,0,32,453,1150.169
0,7,17,0,0,32,470,1811.987
1,2,15,0,0,32,455,2417.242
0,1,2,0,0,32,374,2099.259
1,4,19,0,0,32,395,1886.59
0,13,44,0,0,35,524,1905.954
2,8,32,0,0,35,610,2376.51
0,1,2,0,0,5,330,479.967
2,3,22,0,0,0,610,2376.51
0,12,24,0,0,2,368,441.048
0,12,60,0,0,4,460,1315.136
0,12,24,0,0,4,453,1150.169
0,12,60,0,0,4,470,1811.987
0,12,24,0,0,4,374,2099.259
0,12,60,0,0,4,395,1886.59
13,13,130,0,0,2,610,2376.51
2,3,22,0,0,5,436,5003.678
0,2,4,1,1,0,787,5054.094
0,4,8,1,0,0,598,4070.094
1,1,10,0,0,6,203,1129.378
0,1,5,0,0,10,446,5106.679
0,4,20,0,0,10,395,6272.362
4,4,40,0,1,12,787,5054.094
5,17,86,0,0,12,598,4070.094
0,4,14,0,0,15,133,1129.378
1,16,70,0,0,15,222,1129.378
9,14,106,0,0,14,273,1129.378
10,20,132,0,0,14,446,1129.378
11,17,128,0,0,14,289,1129.378
10,21,137,0,0,14,293,1129.378
8,15,106,0,0,14,328,1129.378
3,14,61,0,0,15,365,1345.825
0,7,14,0,0,16,408,3125.725
0,8,19,0,0,16,374,3980.703
6,9,69,0,0,18,402,4893.135
0,7,35,0,0,18,446,5106.679
1,7,40,0,0,18,395,6272.362
6,7,62,0,0,18,436,5003.678
3,4,35,0,0,4,446,1129.378
3,4,32,0,0,6,293,1129.378
3,5,37,0,0,6,328,1129.378
4,5,42,0,0,8,365,1345.825
1,4,16,0,0,7,408,3125.725
2,10,48,0,0,14,374,3980.703
3,8,52,0,0,14,432,4923.393
4,8,54,0,0,14,347,4968.36
8,10,90,0,0,14,402,4893.135
4,7,49,0,0,14,446,5106.679
1,7,31,0,0,14,395,6272.362
3,12,51,0,0,14,436,5003.678
9,23,157,0,1,15,787,5054.094
3,21,111,0,0,15,598,4070.094
0,1,2,0,0,6,273,1129.378
0,1,2,0,0,6,446,1129.378
1,1,10,0,0,11,365,1345.825
0,1,5,0,0,11,408,3125.725
0,2,7,0,0,11,374,3980.703
1,7,37,0,0,11,56,1129.378
8,15,109,0,0,11,203,1129.378
7,14,90,0,0,11,322,1129.378
0,6,30,0,0,11,133,1129.378
1,5,30,0,0,13,222,1129.378
0,13,44,0,0,15,273,1129.378
0,5,10,0,0,18,446,1129.378
2,3,22,0,0,29,293,1129.378
1,1,10,0,0,31,408,3125.725
1,1,10,0,0,31,374,3980.703
0,7,20,0,0,32,347,4968.36
3,11,49,0,0,32,402,4893.135
2,8,32,0,0,32,446,5106.679
0,17,52,0,0,32,395,6272.362
2,10,42,0,0,32,436,5003.678
2,3,25,0,1,35,787,5054.094
0,1,5,0,0,35,598,4070.094
0,3,15,0,0,5,26,1129.378
0,1,2,0,0,5,436,5003.678
12,21,138,0,0,2,446,1129.378
0,20,100,0,0,2,289,1129.378
12,24,180,0,0,2,293,1129.378
12,12,120,0,0,2,328,1129.378
0,12,24,0,0,2,365,1345.825
0,12,24,0,0,4,395,6272.362
0,2,4,0,0,5,541,
8,15,106,0,0,10,552,
8,9,82,0,0,10,602,
4,13,58,0,0,10,581,
4,4,40,0,0,10,592,
0,6,27,0,0,10,541,
9,15,105,1,0,10,398,
9,20,142,1,0,12,561,
9,20,136,0,0,16,552,
5,25,120,0,0,16,602,
0,8,19,0,0,18,581,
0,2,4,0,0,18,592,
1,12,53,0,0,18,541,
1,16,76,0,0,18,398,
0,3,9,0,0,14,602,
0,5,16,0,0,14,581,
3,5,37,0,0,14,541,
2,3,22,0,0,14,398,
0,3,6,0,0,15,561,
0,5,22,0,0,18,249,
3,6,42,0,0,13,552,
1,6,29,0,0,15,602,
3,10,56,0,0,17,581,
0,4,14,0,0,17,592,
0,1,2,0,0,15,541,
0,4,14,0,0,15,398,
2,10,51,0,0,15,561,
4,19,109,0,0,32,552,
0,2,7,0,0,32,602,
0,1,5,0,0,32,581,
1,8,39,0,0,32,592,
0,9,24,0,0,32,541,
0,4,14,0,0,32,398,
2,10,57,0,0,35,561,
1,2,15,0,0,4,602,
1,3,17,0,0,5,592,
0,1,5,0,0,5,541,
2,5,35,0,0,0,561,
0,24,120,0,0,4,602,
0,22,74,0,0,4,581,
0,12,24,0,0,4,592,
12,12,120,0,0,4,541,
0,12,60,0,0,4,561,
0,1,5,0,0,5,306,368.356
1,1,10,0,0,5,397,632.201
0,3,15,0,0,5,324,822.583
0,2,4,0,0,0,338,1744.456
1,1,10,0,0,4,171,279.764
2,2,20,0,0,5,112,566.968
0,1,5,0,0,5,122,686.546
0,2,10,0,0,5,148,687.721
1,3,20,0,0,0,196,741.311
0,4,8,0,0,0,364,2857.325
0,1,2,0,0,0,447,2857.325
3,9,48,0,0,6,724,2857.325
0,1,5,0,0,6,473,2857.325
3,7,50,0,0,6,412,2857.325
0,6,12,0,0,6,436,2857.325
0,3,15,0,0,5,418,2857.325
0,4,20,0,0,6,482,2857.325
1,6,32,0,0,6,529,2857.325
0,9,42,0,0,6,574,2857.325
5,9,61,0,0,6,554,2857.325
9,11,100,0,0,6,693,4037.65
0,5,25,0,0,6,715,5236.425
0,5,10,0,0,6,728,6520.325
0,13,50,0,0,6,827,8073.125
1,9,26,0,0,6,748,10250.95
4,15,68,0,0,6,706,12217.175
4,6,47,1,0,6,744,14769.85
0,9,30,1,0,6,699,18804.9
2,13,63,0,0,5,823,2857.325
0,5,10,0,0,6,473,2857.325
0,1,2,0,0,7,416,2857.325
0,13,29,0,0,7,724,2857.325
0,6,12,0,0,7,412,2857.325
0,1,2,0,0,8,418,2857.325
0,1,2,0,0,8,693,4037.65
1,2,12,0,0,10,706,12217.175
1,13,58,0,0,10,744,14769.85
0,4,8,0,0,10,669,16253.95
0,10,26,0,0,10,699,18804.9
1,5,18,0,0,12,856,21354.125
5,7,57,0,0,12,854,29167.779
11,27,163,0,0,11,823,2857.325
1,1,10,0,0,9,447,2857.325
5,20,110,0,0,11,724,2857.325
0,8,16,0,0,9,412,2857.325
0,1,2,0,0,14,554,2857.325
10,26,162,1,0,15,693,4037.65
0,1,2,1,0,16,715,5236.425
1,11,36,1,0,16,728,6520.325
8,11,92,1,0,16,827,8073.125
0,6,12,1,0,18,748,10250.95
2,19,102,1,0,18,706,12217.175
2,20,89,1,0,18,744,14769.85
7,10,79,1,0,18,669,16253.95
8,16,114,0,0,18,699,18804.9
0,1,2,0,0,4,482,2857.325
0,1,2,0,0,6,554,2857.325
0,2,7,0,0,8,693,4037.65
0,2,7,0,0,7,715,5236.425
0,1,5,0,0,14,728,6520.325
0,1,2,0,0,14,827,8073.125
0,1,2,0,0,14,706,12217.175
0,1,2,0,0,14,744,14769.85
1,2,12,0,0,14,669,16253.95
1,2,15,0,0,14,699,18804.9
2,3,25,0,0,5,27,2857.325
11,14,122,0,0,15,219,2857.325
20,36,253,0,0,18,364,2857.325
46,64,520,0,0,21,473,2857.325
14,21,160,0,0,10,447,2857.325
1,2,15,0,0,4,412,2857.325
1,2,12,0,0,7,436,2857.325
0,1,2,0,0,7,431,2857.325
1,2,15,0,0,6,418,2857.325
2,7,36,0,0,6,482,2857.325
1,3,20,0,0,7,529,2857.325
2,4,30,0,0,8,574,2857.325
2,3,25,0,0,7,554,2857.325
3,6,39,0,0,11,693,4037.65
0,1,5,0,0,11,715,5236.425
1,2,15,0,0,11,728,6520.325
1,3,17,0,0,13,827,8073.125
1,3,14,0,0,15,748,10250.95
2,3,25,0,0,17,706,12217.175
2,6,34,0,0,15,744,14769.85
3,4,32,0,0,15,669,16253.95
1,3,14,0,0,15,699,18804.9
3,8,49,0,0,15,856,21354.125
1,6,32,0,0,15,854,29167.779
3,10,53,0,0,9,823,2857.325
1,1,10,0,0,4,81,2857.325
1,5,18,0,0,6,219,2857.325
2,7,42,0,0,9,364,2857.325
14,22,171,0,0,10,473,2857.325
16,26,195,0,0,11,447,2857.325
16,21,176,0,0,11,416,2857.325
8,16,111,0,0,11,724,2857.325
2,17,74,0,0,11,473,2857.325
18,25,212,0,0,11,412,2857.325
11,19,132,0,0,11,436,2857.325
2,22,105,0,0,13,431,2857.325
34,40,361,0,0,15,418,2857.325
45,61,506,0,0,18,482,2857.325
52,83,627,0,0,29,529,2857.325
48,74,574,0,0,29,574,2857.325
29,55,399,0,0,26,554,2857.325
50,63,565,0,0,29,693,4037.65
24,45,318,0,0,31,715,5236.425
35,56,419,0,0,31,728,6520.325
47,60,529,0,0,32,827,8073.125
37,66,482,0,0,32,748,10250.95
30,65,436,1,0,32,706,12217.175
31,68,447,1,0,32,744,14769.85
41,68,512,1,0,32,669,16253.95
48,71,568,0,0,32,699,18804.9
22,59,360,0,0,35,856,21354.125
27,69,459,0,0,35,854,29167.779
0,1,2,0,0,4,114,2857.325
1,4,19,0,0,2,823,2857.325
2,2,20,0,0,5,447,2857.325
4,7,49,0,0,4,715,5236.425
3,4,32,0,0,4,728,6520.325
4,4,40,0,0,4,827,8073.125
3,4,32,0,0,4,748,10250.95
0,1,5,0,0,5,706,12217.175
1,1,10,0,0,5,669,16253.95
0,4,14,0,0,0,854,29167.779
12,24,180,0,0,2,693,4037.65
12,12,120,0,0,2,715,5236.425
0,24,48,0,0,2,728,6520.325
12,24,180,1,0,4,744,14769.85
0,12,60,0,0,4,669,16253.95
0,24,48,0,0,4,699,18804.9
12,12,120,0,0,4,856,21354.125
0,26,91,0,0,2,854,29167.779
