Year,Aquatics,Archery,Athletics,Badminton,Baseball and Softball,Basketball,Basque Pelota,Boxing,Breaking,Canoeing,Cricket,Croquet,Cycling,Equestrian,Fencing,Field hockey,Flag football,Football,Golf,Gymnastics,Handball,Ice Hockey,Jeu de Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Rackets,Roque,Rowing,Rugby,Sailing,Shooting,Skateboarding,Skating,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug of War,Volleyball,Water Motorsports,Weightlifting,Wrestling,Total disciplines,Total events,Total sports
1948,16,0,33,0,0,1,0,8,0,9,0,0,6,6,7,1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,7,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,16,23,136,17
1952,16,0,33,0,0,1,0,10,0,9,0,0,6,6,7,1,0,1,0,15,0,0,0,0,0,0,2,0,0,0,7,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23,149,17
1956,18,0,33,0,0,1,0,10,0,7,0,0,6,6,7,1,0,1,0,15,0,0,0,0,0,0,2,0,0,0,7,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23,151,17
1960,20,0,34,0,1,1,0,10,0,7,0,0,6,5,8,1,0,1,0,14,0,0,0,0,0,0,2,0,0,0,7,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,7,16,23,150,17
1964,23,0,36,0,1,1,0,10,0,7,0,0,7,6,8,1,0,1,0,14,0,0,0,4,0,0,2,0,0,0,7,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,7,16,25,163,19
1968,34,0,36,0,1,2,0,11,0,7,0,0,7,6,8,1,0,1,0,14,0,0,0,0,0,0,2,0,0,0,7,0,5,7,0,0,0,0,0,0,0,0,0,0,2,0,7,16,24,172,18
1972,34,2,38,0,1,2,0,11,0,15,0,0,7,6,8,1,0,1,0,14,1,0,0,6,0,0,2,0,0,0,7,0,6,8,0,0,0,0,0,0,0,0,0,0,2,0,9,20,28,195,21
1976,31,2,37,0,1,2,0,11,0,11,0,0,6,6,8,1,0,1,0,14,2,0,0,6,0,0,2,0,0,0,14,0,6,7,0,0,0,0,0,0,0,0,0,0,2,0,9,20,27,198,21
1980,31,2,38,0,0,2,0,11,0,12,0,0,6,6,8,2,0,1,0,14,2,0,0,8,0,0,2,0,0,0,14,0,6,7,0,0,0,0,0,0,0,4,0,0,2,0,10,20,27,203,21
1984,36,2,41,4,0,2,0,12,0,12,0,0,8,6,8,2,0,1,0,15,2,0,0,8,0,0,2,0,0,0,14,0,7,11,0,0,0,0,0,0,0,4,0,0,2,0,10,20,29,221,21
1988,38,4,42,5,1,2,0,12,0,12,0,0,9,6,8,2,0,1,0,15,2,0,0,7,0,0,2,0,0,0,14,0,8,13,0,0,0,0,0,4,0,4,0,0,2,0,10,20,31,237,23
1992,38,4,43,5,0,2,0,12,0,16,0,0,10,6,8,2,0,1,0,15,2,0,0,14,0,0,2,0,0,0,14,0,10,13,0,0,0,0,0,4,8,4,0,0,2,0,10,20,34,257,25
1996,38,4,44,5,1,2,0,12,0,16,0,0,14,6,10,2,0,2,0,16,2,0,0,14,0,0,1,0,0,0,14,0,10,15,0,0,0,0,0,4,8,4,0,0,4,0,10,20,37,271,25
2000,44,4,46,5,1,2,0,12,0,16,0,0,18,6,10,2,0,2,0,18,2,0,0,14,0,0,2,0,0,0,14,0,11,17,0,0,0,0,0,4,8,4,2,0,4,0,15,16,40,300,27
2004,44,4,46,5,1,2,0,11,0,16,0,0,18,6,10,2,0,2,0,18,2,0,0,14,0,0,2,0,0,0,14,0,11,17,0,0,0,0,0,4,8,5,2,0,4,0,15,18,40,301,27
2008,46,4,47,5,1,2,0,11,0,16,0,0,18,6,10,2,0,2,0,18,2,0,0,14,0,0,2,0,0,0,14,0,11,15,0,0,0,0,0,4,8,5,2,0,4,0,15,18,42,302,27
2012,46,4,47,5,0,2,0,13,0,16,0,0,18,6,10,2,0,2,0,18,2,0,0,14,0,0,2,0,0,0,14,0,10,15,0,0,0,0,0,4,8,5,2,0,4,0,15,18,40,302,26
2016,46,4,47,5,0,2,0,13,0,16,0,0,18,6,10,2,0,2,2,18,2,0,0,14,0,0,2,0,0,0,14,2,10,15,0,0,0,0,0,4,8,5,2,0,4,0,15,18,42,306,28
2020,49,5,48,0,1,2,0,13,0,14,0,0,22,6,12,2,0,2,2,18,2,0,0,15,8,0,2,0,0,0,14,2,10,15,4,0,2,0,2,5,0,0,3,0,4,0,14,18,50,339,33
2024,49,5,48,0,0,2,0,13,2,6,0,0,22,6,12,2,0,2,2,18,2,0,0,15,0,0,2,0,0,0,14,2,10,15,4,0,4,0,2,5,0,0,3,0,2,0,10,18,48,329,32
