Year,Afghanistan,Albania,Algeria,Argentina,Argentina ,Armenia,Australasia,Australia,Australia.1,Austria,Austria ,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Belgium ,Bermuda,Bohemia,Botswana,Brazil,Brazil ,British West Indies ,Bulgaria,Bulgaria ,Burkina Faso,Burundi,Cabo Verde,Cameroon,Canada,Canada ,Ceylon,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Czechoslovakia ,Denmark,Denmark ,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,Egypt ,Eritrea,Estonia,Ethiopia,Ethiopia ,FR Yugoslavia,Fiji,Finland,Finland ,Formosa ,France,France ,Gabon,Georgia,Germany,Germany ,Ghana,Ghana ,Great Britain,Great Britain ,Greece,Greece ,Grenada,Guatemala,Guyana,Haiti,Hong Kong,Hungary,Hungary ,Iceland,Independent Olympic Athletes,Independent Olympic Participants,India,India ,Indonesia,Iran,Iran ,Iraq ,Ireland,Ireland ,Israel,Italy,Italy ,Ivory Coast,Jamaica,Japan,Japan ,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Latvia ,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Mauritius,Mexico,Mexico ,Mixed team,Moldova,Mongolia,Montenegro,Morocco,Morocco ,Mozambique,Namibia,Netherlands,Netherlands Antilles,Netherlands ,New Zealand,New Zealand ,Niger,Nigeria,North Korea,North Macedonia,Norway,Norway ,Pakistan,Pakistan ,Panama,Paraguay,Peru,Philippines,Philippines ,Poland,Poland ,Portugal,Portugal ,Puerto Rico,Qatar,ROC,Refugee Olympic Team,Romania,Romania ,Russia,Russian Empire,Saint Lucia,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Singapore,Singapore ,Slovakia,Slovenia,South Africa,South Africa ,South Korea,Soviet Union,Soviet Union ,Spain,Spain ,Sri Lanka,Sudan,Suriname,Sweden,Sweden ,Switzerland,Switzerland ,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkey ,Turkmenistan,Uganda,Ukraine,Unified Team,United Arab Emirates,United States,United States ,United Team of Germany,United Team of Germany ,Uruguay,Uruguay ,Uzbekistan,Venezuela,Venezuela ,Vietnam,Virgin Islands,West Germany,Yugoslavia,Yugoslavia ,Zambia,Zimbabwe,Australia 
1948,0,0,0,47,0,0,0,60,0,16,0,0,0,0,0,0,36,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,5,0,0,76,0,101,0,0,0,0,0,0,32,0,0,0,0,0,0,0,125,0,0,156,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,149,0,0,0,0,10,0,0,2,0,0,0,0,0,151,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,31,0,0,0,4,0,10,0,0,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,4,0,0,5,0,0,0,0,249,0,110,0,0,0,0,0,0,0,0,5,0,84,0,0,0,0,0,0,553,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0
1952,0,0,0,24,0,0,0,76,0,7,0,0,0,0,0,0,30,0,0,0,0,14,0,0,2,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,91,0,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,101,0,0,102,0,0,0,69,0,0,0,36,0,0,0,0,0,0,0,0,242,0,0,0,0,12,0,0,23,0,0,5,0,0,133,0,0,35,44,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0,14,0,0,0,0,0,40,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,4,408,0,5,0,0,0,0,205,0,62,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,529,0,0,0,4,0,0,2,0,0,0,0,20,0,0,0,0
1956,0,0,0,7,0,0,0,198,0,4,0,0,2,0,0,0,10,0,0,0,0,10,0,0,27,0,0,0,0,0,31,0,0,14,0,0,0,0,0,0,0,0,32,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,72,0,0,0,0,0,0,0,117,0,2,0,0,0,0,0,0,154,0,5,0,0,10,0,0,32,0,0,21,0,0,138,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,14,0,5,0,0,0,0,0,0,38,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,579,0,0,0,0,0,0,117,0,2,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,479,0,139,0,2,0,0,0,0,0,0,0,15,0,0,0,0
1960,0,0,0,0,7,0,0,0,22,0,15,0,0,0,0,0,0,14,0,0,0,0,4,4,0,31,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,46,0,37,0,0,0,0,0,0,7,0,0,0,10,0,0,0,21,5,0,16,0,0,0,0,0,5,0,74,0,10,0,0,0,0,0,0,114,0,0,0,0,5,0,0,11,2,0,0,0,0,206,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,9,0,22,0,0,0,0,0,10,0,12,0,0,0,0,0,0,92,0,5,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,637,0,2,0,0,0,0,26,0,21,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,477,0,237,0,0,0,0,2,0,0,0,0,15,0,0,132
1964,0,0,0,5,0,0,0,90,0,0,0,0,10,0,0,0,22,0,0,0,0,2,0,0,59,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,0,0,86,0,31,0,0,0,0,0,0,0,0,0,0,10,0,0,0,34,0,0,62,0,0,0,0,0,2,0,104,0,0,0,0,0,0,0,0,145,0,0,0,0,10,0,0,4,0,0,2,0,0,164,0,0,0,201,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,48,0,0,34,0,0,2,0,0,0,0,5,0,0,0,0,5,0,120,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,525,0,0,0,0,0,0,38,0,22,0,0,0,0,0,0,0,0,9,7,37,0,0,0,0,0,0,546,0,246,0,2,0,0,0,0,0,0,0,29,0,0,0,0
1968,0,0,0,4,0,0,0,95,0,14,0,0,0,0,0,0,7,0,0,0,0,9,0,0,46,0,0,0,0,5,27,0,0,0,0,0,0,0,0,20,0,0,88,0,36,0,0,0,0,149,0,0,0,0,0,15,0,0,0,22,0,0,95,0,0,0,0,0,0,0,81,0,2,0,0,0,0,0,0,174,0,0,0,0,2,0,0,29,0,0,0,0,0,68,0,0,5,159,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,11,0,0,0,0,0,47,0,0,14,0,0,0,0,0,15,0,10,0,0,0,0,0,0,82,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,510,0,0,0,0,0,0,27,0,13,0,0,2,0,0,0,0,0,0,12,20,0,0,7,0,0,0,658,0,0,0,0,0,0,10,0,0,0,125,49,0,0,0,0
1972,0,0,0,5,0,0,0,119,0,9,0,0,0,0,0,0,10,0,0,0,0,4,0,0,120,0,0,0,0,0,16,0,0,0,0,0,9,0,0,43,0,0,44,0,10,0,0,0,0,361,0,0,0,0,0,4,0,0,0,43,0,0,54,0,0,0,0,0,2,0,83,0,10,0,0,0,0,0,0,157,0,0,0,0,2,0,0,12,0,0,0,0,0,85,0,0,2,186,0,0,0,43,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,37,0,0,17,0,2,2,21,0,27,0,5,0,0,0,0,0,0,113,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,679,0,2,0,0,0,0,82,0,15,0,0,0,0,0,0,0,0,0,5,5,0,0,15,0,0,0,545,0,0,0,0,0,0,0,0,0,0,217,29,0,0,0,0
1976,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,21,0,2,0,0,4,0,0,119,0,0,0,0,0,37,0,0,0,0,0,0,0,0,86,0,0,38,0,14,0,0,0,0,575,0,0,0,0,0,0,0,0,0,50,0,0,43,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,7,0,0,0,0,0,63,0,0,15,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,16,0,0,27,0,0,0,15,0,15,0,2,0,0,0,0,0,0,126,0,10,0,2,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,765,0,10,0,0,0,0,45,0,19,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,5,0,0,0,194,41,0,0,0,0
1980,0,0,0,0,0,0,0,40,0,22,0,0,0,0,0,0,10,0,0,0,0,24,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,53,0,29,0,0,0,0,739,0,0,0,0,0,24,0,0,0,43,0,0,91,0,0,0,0,0,0,0,103,0,14,0,0,0,2,0,0,150,0,0,0,0,10,0,0,0,0,0,7,0,0,103,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,29,0,0,0,0,57,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,43,0,0,10,0
1984,0,0,4,0,0,0,0,104,0,17,0,0,0,0,0,0,19,0,0,0,0,39,0,0,0,0,0,0,0,2,222,0,0,0,208,2,5,0,0,0,0,0,0,0,21,0,0,0,2,0,0,5,0,0,0,0,0,0,0,62,0,0,117,0,0,0,0,0,0,0,147,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,194,0,5,9,168,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,20,0,0,0,72,0,0,89,0,0,7,0,0,9,0,10,0,0,0,5,0,0,0,0,14,0,7,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,24,0,0,0,0,87,0,28,0,5,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1195,0,0,0,0,0,0,6,0,0,0,311,104,0,2,0,0
1988,0,0,0,7,0,0,0,70,0,10,0,0,0,0,0,0,4,0,0,0,0,26,0,0,186,0,0,0,0,0,50,0,0,5,129,0,2,5,0,0,0,0,49,0,27,0,2,0,0,605,0,0,0,0,0,0,0,0,0,19,0,0,92,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,152,0,0,0,0,0,0,5,5,0,0,0,0,0,88,0,0,10,69,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,14,0,0,0,40,5,0,56,0,0,0,0,0,35,0,2,0,0,0,5,2,0,63,0,10,0,0,0,0,0,137,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,192,797,0,19,0,0,0,10,34,0,14,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,5,210,60,0,0,0,0
1992,0,0,12,2,0,0,0,137,0,10,0,0,2,0,0,0,9,0,0,0,0,25,0,0,77,0,0,0,0,0,104,0,0,0,302,5,2,0,9,192,0,0,52,0,23,0,0,0,0,0,0,0,0,0,12,14,0,0,0,24,0,0,137,0,0,0,491,0,2,0,89,0,20,0,0,0,0,0,0,184,0,0,0,9,0,0,32,9,0,0,15,0,7,101,0,0,17,92,0,0,0,44,0,0,0,12,0,0,12,0,0,2,0,5,0,0,0,4,0,17,0,0,10,64,0,0,40,0,0,17,50,0,42,0,2,0,0,0,5,2,0,80,0,0,0,2,2,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,169,0,0,169,0,0,0,2,53,0,10,0,0,0,0,0,2,0,0,0,0,34,0,0,0,0,698,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,22,12,0,15,0,181,0,9,0,5,5,0,0,56,34,0,0,0,0,63,0,0,75,0,0,10,0,0,101,0,0,0,294,5,0,10,15,146,0,63,0,0,47,0,0,0,0,0,10,0,0,0,0,22,0,19,0,22,0,0,215,0,0,4,344,0,0,0,62,0,60,0,0,0,0,0,10,110,0,0,0,0,2,0,19,17,0,0,32,0,2,204,0,0,29,70,0,0,58,36,0,0,0,5,0,0,2,0,0,7,0,2,0,0,7,2,0,4,0,2,10,85,0,0,42,0,0,31,29,0,36,0,0,0,0,0,0,5,0,105,0,12,0,2,0,0,0,93,0,397,0,0,0,0,0,0,0,0,0,0,17,10,37,0,155,0,0,92,0,0,0,0,44,0,55,0,10,0,0,0,12,0,5,4,2,47,0,0,2,124,0,0,650,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0
2000,0,0,21,14,0,2,0,319,0,25,0,22,22,0,2,67,16,0,0,0,0,42,0,0,84,0,0,0,0,10,61,0,0,2,388,13,10,4,12,179,0,41,0,0,37,0,0,0,0,0,0,0,0,0,14,51,0,17,0,27,0,0,222,0,0,12,267,0,0,0,174,0,76,0,0,0,0,0,0,116,0,2,0,0,2,0,29,32,0,0,5,0,2,196,0,0,36,100,0,0,50,39,0,2,2,17,0,0,26,0,2,0,0,26,0,0,7,0,0,13,0,10,0,173,0,0,16,0,0,20,11,0,61,0,0,0,0,0,0,0,0,91,0,4,0,0,2,0,0,158,0,518,0,0,0,0,7,0,0,0,0,0,27,20,16,0,150,0,0,55,0,5,0,0,71,0,44,0,0,0,0,0,14,0,0,7,0,34,0,0,0,100,0,0,554,0,0,0,5,0,19,0,0,5,0,0,0,0,0,0,0
2004,0,0,0,28,0,0,0,284,0,42,0,18,12,0,0,57,14,0,0,0,0,66,0,0,43,0,0,0,0,10,66,0,0,22,433,32,4,0,24,147,0,35,0,0,35,0,0,0,10,0,0,21,0,2,9,39,0,0,0,10,0,0,181,0,0,30,250,0,0,0,159,0,98,0,0,0,0,0,5,116,0,0,0,0,5,0,19,34,0,0,0,0,12,177,0,0,29,229,0,0,36,34,0,0,0,20,0,0,20,0,0,0,0,17,0,0,0,2,0,25,0,0,0,103,0,0,40,0,0,4,22,0,52,0,0,0,0,5,0,0,0,50,0,12,0,0,0,0,0,117,0,482,0,0,0,0,0,0,0,10,0,0,34,11,29,0,168,0,0,97,0,0,0,0,52,0,21,0,2,0,0,0,43,0,0,2,0,53,0,0,0,123,0,10,607,0,0,0,0,0,29,4,0,0,0,0,0,0,0,17,0
2008,2,0,7,28,0,13,0,249,0,9,0,23,7,0,0,64,20,0,0,0,0,70,0,0,21,0,0,0,0,10,91,0,0,5,650,19,12,0,16,114,0,47,0,0,36,0,0,0,15,0,5,4,0,0,15,52,0,0,0,19,0,0,190,0,0,44,243,0,0,0,293,0,12,0,0,0,0,0,0,59,0,5,0,0,14,0,23,12,0,0,9,0,2,145,0,0,74,146,0,0,43,92,0,0,9,17,0,0,19,0,0,5,2,24,0,0,2,30,0,7,0,0,0,103,0,0,48,0,0,19,34,0,57,0,0,0,10,0,0,0,0,69,0,15,0,0,0,0,0,53,0,351,0,0,5,0,0,0,9,0,5,0,45,24,5,0,201,0,0,111,0,0,5,0,22,0,33,0,0,0,7,0,34,2,0,15,10,21,0,0,0,112,0,0,629,0,0,0,0,0,11,2,0,5,0,0,0,0,0,25,0
2012,2,0,10,19,0,7,0,179,0,0,0,40,10,10,0,51,9,0,0,0,5,73,0,0,12,0,0,0,0,2,70,0,0,0,589,12,35,0,39,79,5,66,0,0,46,0,0,0,15,0,0,17,0,0,7,46,0,0,0,12,0,0,191,0,5,26,236,0,0,0,416,0,4,0,10,5,0,0,2,112,0,0,0,0,18,0,12,97,0,0,23,0,0,147,0,0,73,174,0,0,52,54,0,2,0,12,0,0,26,0,0,7,0,33,0,0,0,16,5,2,0,0,0,106,0,0,80,0,0,0,44,0,27,0,0,0,0,0,0,0,0,52,0,5,0,7,7,0,0,42,0,337,0,0,0,0,2,0,19,0,4,0,11,19,47,0,193,0,0,102,0,0,0,0,36,0,30,0,0,0,2,0,14,0,0,19,22,17,0,0,10,90,0,0,670,0,0,0,0,0,6,10,0,2,0,0,0,0,0,0,0
