Year,Team,Sport,Coach,Host,Events,Athletes,GDP,Gold,Total,Score
1992,China,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-0.8188642576565283,-0.6693667074348516,0,2,4
1992,China,Fencing,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-0.8188642576565283,-0.6693667074348516,0,1,5
1992,China,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,-0.8188642576565283,-0.6693667074348516,2,13,69
1992,China,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.8188642576565283,-0.6693667074348516,1,3,14
1992,China,Shooting,2.7869197787824507,-0.22851547244951506,-0.2683393761729534,-0.8188642576565283,-0.6693667074348516,2,4,30
1992,China,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-0.8188642576565283,-0.6693667074348516,4,13,85
1992,France,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.25446242533738467,-0.5365192904862096,2,7,33
1992,Germany,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.730361180035815,-0.42533638269157414,6,13,80
1992,Indonesia,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-2.748197051808703,-0.7171502597216558,2,4,27
1992,Italy,Fencing,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-0.5136265320145424,-0.5494237472933442,12,14,130
1992,Italy,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.5136265320145424,-0.5494237472933442,0,1,5
1992,Italy,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,-0.5136265320145424,-0.5494237472933442,0,2,4
1992,Italy,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-0.5136265320145424,-0.5494237472933442,0,2,4
1992,Japan,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,-0.8419010671389423,-0.15466457493675956,0,8,19
1992,Japan,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.8419010671389423,-0.15466457493675956,2,10,48
1992,Japan,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,-0.8419010671389423,-0.15466457493675956,0,2,7
1992,Japan,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-0.8419010671389423,-0.15466457493675956,1,1,10
1992,South Korea,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-1.2335268283399807,-0.6876310049408975,0,1,5
1992,Switzerland,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-2.0110191483714543,-0.7007018871033603,1,1,10
1992,United States,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,1.196856572054699,0.22003178477064636,0,5,10
1992,United States,Gymnastics,0.9515200624689386,-0.22851547244951506,0.23324118318558207,1.196856572054699,0.22003178477064636,1,11,36
1992,United States,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,1.196856572054699,0.22003178477064636,0,1,5
1992,United States,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,1.196856572054699,0.22003178477064636,1,2,15
1992,United States,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,1.196856572054699,0.22003178477064636,35,56,419
1992,United States,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,1.196856572054699,0.22003178477064636,3,4,32
1992,United States,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,1.196856572054699,0.22003178477064636,0,24,48
1996,Australia,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.1256449311224468,-0.6793115076569783,4,4,40
1996,Australia,Shooting,-0.2720797484067361,-0.22851547244951506,-0.0677071524295392,0.1256449311224468,-0.6793115076569783,2,3,22
1996,Australia,Swimming,5.641986004159025,-0.22851547244951506,1.8382989731328954,0.1256449311224468,-0.6793115076569783,2,25,93
1996,Australia,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,0.1256449311224468,-0.6793115076569783,2,2,20
1996,Brazil,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,-1.5963565776880018,-0.6164000676190683,0,4,8
1996,Brazil,Judo,1.971186571532001,-0.22851547244951506,0.032608959442167886,-1.5963565776880018,-0.6164000676190683,0,2,4
1996,Brazil,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-1.5963565776880018,-0.6164000676190683,0,3,9
1996,Brazil,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,-1.5963565776880018,-0.6164000676190683,0,12,24
1996,China,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-0.588496162832388,-0.6150246977942706,0,3,9
1996,China,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,-0.588496162832388,-0.6150246977942706,1,12,62
1996,China,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.588496162832388,-0.6150246977942706,1,2,12
1996,China,Shooting,2.7869197787824507,-0.22851547244951506,-0.0677071524295392,-0.588496162832388,-0.6150246977942706,2,5,32
1996,China,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.588496162832388,-0.6150246977942706,1,12,50
1996,China,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-0.588496162832388,-0.6150246977942706,0,9,45
1996,France,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.43299769882609335,-0.506024942466652,3,6,36
1996,Germany,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.5633443112883133,-0.3720289249938682,10,10,100
1996,Indonesia,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-2.805789075514738,-0.7014457848352452,2,4,27
1996,Italy,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,-0.34660966326704074,-0.5479428862193799,14,30,196
1996,Italy,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,-0.34660966326704074,-0.5479428862193799,1,1,10
1996,Italy,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.34660966326704074,-0.5479428862193799,0,2,7
1996,Italy,Shooting,-0.2720797484067361,-0.22851547244951506,-0.0677071524295392,-0.34660966326704074,-0.5479428862193799,2,5,29
1996,Italy,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.34660966326704074,-0.5479428862193799,0,1,2
1996,Italy,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-0.34660966326704074,-0.5479428862193799,0,12,60
1996,Japan,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.507867329643939,-0.015579895668516277,3,8,52
1996,Russia,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,0.18323695482848185,-0.681088481929652,8,15,106
1996,Russia,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,0.18323695482848185,-0.681088481929652,9,20,136
1996,Russia,Shooting,-0.2720797484067361,-0.22851547244951506,-0.0677071524295392,0.18323695482848185,-0.681088481929652,3,6,42
1996,Russia,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,0.18323695482848185,-0.681088481929652,4,19,109
1996,South Korea,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-0.7094394126150617,-0.6487032585963625,1,1,10
1996,United States,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,1.767017606744446,0.449132220722792,0,13,50
1996,United States,Gymnastics,0.9515200624689386,-0.22851547244951506,0.23324118318558207,1.767017606744446,0.449132220722792,8,11,92
1996,United States,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,1.767017606744446,0.449132220722792,0,1,2
1996,United States,Shooting,-0.2720797484067361,-0.22851547244951506,-0.0677071524295392,1.767017606744446,0.449132220722792,1,3,17
1996,United States,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,1.767017606744446,0.449132220722792,47,60,529
1996,United States,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,1.767017606744446,0.449132220722792,4,4,40
2000,Australia,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,1.3926694526552181,-0.6829175378959701,4,5,45
2000,Australia,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,1.3926694526552181,-0.6829175378959701,0,1,2
2000,Australia,Shooting,-0.2720797484067361,-0.22851547244951506,0.132925071313875,1.3926694526552181,-0.6829175378959701,1,3,17
2000,Australia,Swimming,6.253785909596862,-0.22851547244951506,1.8382989731328954,1.3926694526552181,-0.6829175378959701,15,46,293
2000,Australia,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,1.3926694526552181,-0.6829175378959701,0,2,10
2000,Brazil,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,-1.6827446132470543,-0.6452725061252167,0,4,8
2000,Brazil,Judo,1.971186571532001,-0.22851547244951506,0.032608959442167886,-1.6827446132470543,-0.6452725061252167,0,2,10
2000,Brazil,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-1.6827446132470543,-0.6452725061252167,0,4,8
2000,Brazil,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-1.6827446132470543,-0.6452725061252167,0,12,24
2000,China,Badminton,1.0874755970106802,-0.22851547244951506,-0.8702360474031959,-0.7382354244680792,-0.5641138832454612,2,6,34
2000,China,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,-0.7382354244680792,-0.5641138832454612,0,6,21
2000,China,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,-0.7382354244680792,-0.5641138832454612,8,12,94
2000,China,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.7382354244680792,-0.5641138832454612,2,4,27
2000,China,Shooting,2.7869197787824507,-0.22851547244951506,0.132925071313875,-0.7382354244680792,-0.5641138832454612,3,8,46
2000,France,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.3120544490434197,-0.5410934795741955,2,6,34
2000,Germany,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.17747775245787833,-0.4516413264872388,8,10,87
2000,Indonesia,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-2.7539562541793066,-0.7154975143046439,2,3,25
2000,Italy,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,-0.3869240798612653,-0.5722821518155402,16,26,180
2000,Italy,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.3869240798612653,-0.5722821518155402,1,4,16
2000,Italy,Shooting,-0.2720797484067361,-0.22851547244951506,0.132925071313875,-0.3869240798612653,-0.5722821518155402,0,2,7
2000,Italy,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.3869240798612653,-0.5722821518155402,3,6,39
2000,Italy,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-0.3869240798612653,-0.5722821518155402,0,12,24
2000,Japan,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.997399531145237,-0.0089454551072978,4,8,54
2000,Japan,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.997399531145237,-0.0089454551072978,0,7,20
2000,Russia,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,0.4711970733586572,-0.7009178859687867,8,9,82
2000,Russia,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,0.4711970733586572,-0.7009178859687867,5,25,120
2000,Russia,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,0.4711970733586572,-0.7009178859687867,0,3,9
2000,Russia,Shooting,-0.2720797484067361,-0.22851547244951506,0.132925071313875,0.4711970733586572,-0.7009178859687867,1,6,29
2000,Russia,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,0.4711970733586572,-0.7009178859687867,0,2,7
2000,Russia,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,0.4711970733586572,-0.7009178859687867,1,2,15
2000,Russia,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,0.4711970733586572,-0.7009178859687867,0,24,120
2000,United States,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,1.312040619466769,0.7704489755704746,1,9,26
2000,United States,Gymnastics,0.9515200624689386,-0.22851547244951506,0.4338734069289963,1.312040619466769,0.7704489755704746,0,6,12
2000,United States,Shooting,-0.2720797484067361,-0.22851547244951506,0.132925071313875,1.312040619466769,0.7704489755704746,1,3,14
2000,United States,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,1.312040619466769,0.7704489755704746,37,66,482
2000,United States,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,1.312040619466769,0.7704489755704746,3,4,32
2004,Australia,Shooting,-0.2720797484067361,-0.22851547244951506,0.33355729505728915,0.37329063305839755,-0.644782377552166,1,2,12
2004,Australia,Swimming,6.253785909596862,-0.22851547244951506,1.8382989731328954,0.37329063305839755,-0.644782377552166,17,31,231
2004,Australia,Tennis,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,0.37329063305839755,-0.644782377552166,0,1,2
2004,Brazil,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,-1.2104900188575667,-0.643231139798688,1,1,10
2004,Brazil,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-1.2104900188575667,-0.643231139798688,0,2,4
2004,Brazil,Volleyball,-0.06814644659412361,-0.22851547244951506,-0.970552159274903,-1.2104900188575667,-0.643231139798688,12,12,120
2004,China,Badminton,1.0874755970106802,-0.22851547244951506,-0.8702360474031959,-0.17383359214893557,-0.4543566564867644,1,4,22
2004,China,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,-0.17383359214893557,-0.4543566564867644,0,6,30
2004,China,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.4338734069289963,-0.17383359214893557,-0.4543566564867644,1,3,14
2004,China,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.17383359214893557,-0.4543566564867644,1,5,21
2004,China,Shooting,2.7869197787824507,-0.22851547244951506,0.33355729505728915,-0.17383359214893557,-0.4543566564867644,4,9,56
2004,China,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.17383359214893557,-0.4543566564867644,1,6,35
2004,China,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-0.17383359214893557,-0.4543566564867644,12,12,120
2004,France,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.3869240798612653,-0.43084037017431165,0,1,5
2004,Germany,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.321457811722966,-0.3213377978157007,4,9,53
2004,Indonesia,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-2.8173074802559452,-0.7007638539909827,1,2,12
2004,Italy,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,-0.2890176395610057,-0.4746373860240814,10,22,154
2004,Italy,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.4338734069289963,-0.2890176395610057,-0.4746373860240814,1,2,12
2004,Italy,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.2890176395610057,-0.4746373860240814,0,1,2
2004,Italy,Shooting,-0.2720797484067361,-0.22851547244951506,0.33355729505728915,-0.2890176395610057,-0.4746373860240814,1,3,20
2004,Italy,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.2890176395610057,-0.4746373860240814,0,7,17
2004,Italy,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-0.2890176395610057,-0.4746373860240814,0,12,60
2004,Japan,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.4338734069289963,-0.6806434007620441,-0.020044167301076797,6,9,69
2004,Japan,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.6806434007620441,-0.020044167301076797,8,10,90
2004,Japan,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.6806434007620441,-0.020044167301076797,3,11,49
2004,Russia,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,0.35025382357598356,-0.6485411119070842,4,13,58
2004,Russia,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.4338734069289963,0.35025382357598356,-0.6485411119070842,0,8,19
2004,Russia,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,0.35025382357598356,-0.6485411119070842,0,5,16
2004,Russia,Shooting,-0.2720797484067361,-0.22851547244951506,0.33355729505728915,0.35025382357598356,-0.6485411119070842,3,10,56
2004,Russia,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,0.35025382357598356,-0.6485411119070842,0,1,5
2004,Russia,Volleyball,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,0.35025382357598356,-0.6485411119070842,0,22,74
2004,South Korea,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-1.1298611856691176,-0.6206142585980103,0,3,15
2004,United States,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,1.070154119901422,1.0605462222732098,4,15,68
2004,United States,Fencing,-0.2720797484067361,-0.22851547244951506,-0.3686554880446605,1.070154119901422,1.0605462222732098,1,2,12
2004,United States,Gymnastics,0.9515200624689386,-0.22851547244951506,0.4338734069289963,1.070154119901422,1.0605462222732098,2,19,102
2004,United States,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,1.070154119901422,1.0605462222732098,0,1,2
2004,United States,Shooting,-0.2720797484067361,-0.22851547244951506,0.33355729505728915,1.070154119901422,1.0605462222732098,2,3,25
2004,United States,Swimming,6.253785909596862,-0.22851547244951506,1.8382989731328954,1.070154119901422,1.0605462222732098,30,65,436
2004,United States,Tennis,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,1.070154119901422,1.0605462222732098,0,1,5
2008,Australia,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.2235513714227064,-0.5860911776417516,0,5,25
2008,Australia,Shooting,-0.2720797484067361,-0.22851547244951506,0.33355729505728915,0.2235513714227064,-0.5860911776417516,0,1,2
2008,Australia,Swimming,6.253785909596862,-0.22851547244951506,1.8382989731328954,0.2235513714227064,-0.5860911776417516,19,54,299
2008,Brazil,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-1.0953059714454967,-0.4917715255320635,0,3,6
2008,Brazil,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-1.0953059714454967,-0.4917715255320635,1,2,12
2008,Brazil,Volleyball,-0.06814644659412361,-0.22851547244951506,-0.970552159274903,-1.0953059714454967,-0.4917715255320635,12,24,180
2008,Canada,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,-0.42723849645548984,-0.5128684475034914,1,5,30
2008,China,Badminton,1.0874755970106802,4.376071297408213,-0.8702360474031959,1.0816725246426289,-0.0666454798961728,2,4,27
2008,China,Fencing,-0.2720797484067361,4.376071297408213,-0.3686554880446605,1.0816725246426289,-0.0666454798961728,1,5,30
2008,China,Gymnastics,-0.2720797484067361,4.376071297408213,0.4338734069289963,1.0816725246426289,-0.0666454798961728,19,24,203
2008,China,Judo,-0.2720797484067361,4.376071297408213,0.032608959442167886,1.0816725246426289,-0.0666454798961728,3,4,32
2008,China,Shooting,2.7869197787824507,4.376071297408213,0.33355729505728915,1.0816725246426289,-0.0666454798961728,5,8,62
2008,China,Swimming,-0.2720797484067361,4.376071297408213,1.8382989731328954,1.0816725246426289,-0.0666454798961728,1,14,57
2008,China,Volleyball,-0.2720797484067361,4.376071297408213,-0.970552159274903,1.0816725246426289,-0.0666454798961728,0,12,24
2008,France,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.4560345083085074,-0.31020441367289486,0,4,14
2008,Germany,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.15444094297546432,-0.18009076924985656,6,8,67
2008,Indonesia,Badminton,-0.2720797484067361,-0.22851547244951506,-0.8702360474031959,-2.892177111073791,-0.6596079554158003,0,1,2
2008,Italy,Fencing,0.3397201570311013,-0.22851547244951506,-0.3686554880446605,-0.3754056751200583,-0.3853379370530511,4,32,96
2008,Italy,Judo,-0.2720797484067361,-0.22851547244951506,0.032608959442167886,-0.3754056751200583,-0.3853379370530511,1,1,10
2008,Italy,Shooting,-0.2720797484067361,-0.22851547244951506,0.33355729505728915,-0.3754056751200583,-0.3853379370530511,1,3,20
2008,Italy,Swimming,-0.2720797484067361,-0.22851547244951506,1.8382989731328954,-0.3754056751200583,-0.3853379370530511,1,2,15
